"Probe_Set_ID"	"AT_number"	"Description"	"CO2_pvalue"	"Dev_pvalue"	"CO2byDev_pvalue"	"percentchangeco2_primordia"	"percentchangeco2_expanding"	"percentchangeco2_fullexpand"	"Kmeans_cluster"	"mapman_bin"	"mapman_bin2"	"mapman_bin3"
"245401_at"	"At4g17670"	"development.unspecified"	0.0143	9.999e-05	0.0906	-2.53949039853726	59.4761454903498	28.5367524968549	4	"33.99"	NA	NA
"245405_at"	"At4g17150"	"not assigned.unknown"	0.9934	6e-04	0.0148	7.54784195592664	-16.5624115678634	11.3352264563506	7	"35.2"	NA	NA
"245415_at"	"At4g17330"	"not assigned.no ontology.agenet domain-containing protein"	0.0686	9.999e-05	0.0405	5.47521045706576	-11.3412882472425	-9.14145059623795	1	"35.1.2"	NA	NA
"245426_at"	"At4g17540"	"not assigned.unknown"	0.0431	9.999e-05	0.0597	7.11215278765924	-18.9374786827837	-16.9075244709988	7	"35.2"	NA	NA
"245433_at"	"At4g17110"	"not assigned.no ontology.C2 domain-containing protein"	0.0335	0.0042	0.6046	-5.38329789389031	-15.8439542094997	-16.7528386002659	4	"35.1.19"	NA	NA
"245492_at"	"At4g16340"	"cell.organisation"	0.4814	9.999e-05	0.0173	3.70531477380575	10.3748102900305	-20.6859395389888	5	"31.1"	NA	NA
"245501_at"	"At4g15620"	"not assigned.no ontology"	0.0063	9.999e-05	0.1706	-19.1066903955512	-21.7945347441473	-2.03489150064283	7	"35.1"	NA	NA
"245514_at"	"At4g15805"	"not assigned.unknown"	0.5475	9.999e-05	0.006	-20.1266572375215	47.698954373778	-26.6752743201969	4	"35.2"	NA	NA
"245517_at"	"At4g15840"	"not assigned.unknown"	0.0326	9.999e-05	0.167	0.884392637131586	-18.2030549411132	-9.80053962872083	4	"35.2"	NA	NA
"245532_at"	"At4g15110"	"misc.cytochrome P450"	0.0291	0.0013	0.0663	3.4599056886626	-11.6607813262343	-18.4676737693975	5	"26.10"	NA	NA
"245543_at"	"At4g15260"	"misc.UDP glucosyl and glucoronyl transferases"	0.0036	9.999e-05	0.4949	26.647475169976	25.1274166959196	57.5053137747295	4	"26.2"	NA	NA
"245565_at"	"At4g14605"	"RNA.regulation of transcription.unclassified"	0.9161	0.0641	0.006	7.85774632270841	12.8681171393215	-16.893617475441	7	"27.3.99"	NA	NA
"245569_at"	"At4g14660"	"RNA.transcription"	0.5798	9.999e-05	0.0444	18.35905400983	-15.5580942879861	8.89432109739592	7	"27.2"	NA	NA
"245578_at"	"At4g14790"	"RNA.processing"	0.0194	0.3401	0.1417	0.986369652764097	-26.7808053040103	-16.7106807026822	1	"27.1"	NA	NA
"245593_at"	"At4g14550"	"RNA.regulation of transcription.Aux/IAA family"	0.0021	9.999e-05	0.2611	-11.8450157474548	-35.4861764279526	-37.5063654545857	5	"27.3.40"	NA	NA
"245597_at"	"At4g14190"	"not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein"	0.0566	0.0041	0.0037	15.450195644453	-23.4183248542501	-13.0673377388454	1	"35.1.5"	NA	NA
"245618_at"	"At4g14510"	"not assigned.unknown"	0.1556	9.999e-05	0.0414	11.2688478710726	-11.1817159017733	-19.2093642131246	5	"35.2"	NA	NA
"245621_at"	"At4g14070"	"lipid metabolism.FA synthesis and FA elongation.acyl coa ligase"	0.5897	9.999e-05	0.013	10.9115293263878	2.43214261195466	-17.3843216091658	4	"11.1.8"	NA	NA
"245632_at"	"At1g25290"	"not assigned.no ontology"	0.0345	0.1077	0.3972	-4.64439258076403	-14.0398491724023	-23.2866037584925	5	"35.1"	NA	NA
"245633_at"	"At1g25280"	"RNA.regulation of transcription"	0.5053	9.999e-05	0.0101	-9.07220561874308	7.13615989754848	7.5753100322609	4	"27.3"	"31.1"	NA
"245635_at"	"At1g25250"	"RNA.regulation of transcription.C2H2 zinc finger family"	0.0231	0.218	0.06	-18.7360622661428	6.19723230401955	-38.2057120318411	5	"27.3.11"	NA	NA
"245637_at"	"At1g25230"	"misc.acid and other phosphatases"	0.1791	9.999e-05	0.0352	-3.849852733566	12.2588419522962	-31.4396930551621	4	"26.13"	NA	NA
"245639_at"	"At1g25260"	"protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P0"	0.1283	9.999e-05	0.012	0.832655137173803	-20.2259767284443	5.51989387749001	7	"29.2.1.2.2.80"	NA	NA
"245642_at"	"At1g25275"	"not assigned.unknown"	0.0631	4e-04	2e-04	-9.24131388832137	4.39202514370181	21.021943660272	6	"35.2"	NA	NA
"245657_at"	"At1g56720"	"protein.postranslational modification.kinase.receptor like cytoplasmatic kinase V"	9.999e-05	9.999e-05	0.0066	-15.924347502108	-15.672680537749	-46.0392779854231	5	"29.4.1.55"	NA	NA
"245678_at"	"At1g56610"	"cell.vesicle transport"	0.0954	9.999e-05	0.0467	-11.9643253014103	28.1568286290397	24.5125304911207	2	"31.4"	NA	NA
"245682_at"	"At5g08750"	"protein.degradation.ubiquitin.E3.RING"	0.005	0.0244	0.0867	-3.71994316414706	-24.6353347247691	-8.64857452560369	4	"29.5.11.4.2"	NA	NA
"245683_at"	"At5g22030"	"protein.degradation.ubiquitin.ubiquitin protease"	0.0159	2e-04	0.0069	8.42518159237577	-13.3782997729497	-23.59756946529	1	"29.5.11.5"	NA	NA
"245686_at"	"At5g22060"	"stress.abiotic.heat"	9.999e-05	9.999e-05	8e-04	5.04772110450716	26.063281069986	54.4169369331265	7	"20.2.1"	NA	NA
"245694_at"	"At5g04170"	"signalling.calcium"	0.0046	9.999e-05	0.0643	-0.438529458759127	30.1089019575577	41.8893392784759	4	"30.3"	NA	NA
"245709_at"	"At5g04320"	"not assigned.unknown"	0.0424	9.999e-05	0.1537	2.91867544984656	-28.8651100673126	-15.2316741368903	7	"35.2"	NA	NA
"245712_at"	"At5g04360"	"major CHO metabolism.synthesis.starch.debranching"	0.0262	9.999e-05	0.0123	6.12017305780237	-9.35901656398788	-19.5094917371644	4	"2.1.2.4"	NA	NA
"245718_at"	"At5g04100"	"DNA.synthesis/chromatin structure"	1e-04	0.0597	0.1354	-7.19071113254441	-13.2407042286191	-19.4687766172054	1	"28.1"	NA	NA
"245730_at"	"At1g73470"	"not assigned.unknown"	0.1735	9.999e-05	0.0234	8.53568555941029	-5.08933841283468	-17.5519144155712	4	"35.2"	NA	NA
"245731_at"	"At1g73500"	"signalling.MAP kinases"	6e-04	9.999e-05	0.1374	12.2518727340432	44.7959849983158	61.9377321537111	6	"30.6"	NA	NA
"245739_at"	"At1g44110"	"cell.cycle"	0.002	9.999e-05	0.0513	-3.63822083664802	-44.1233368513358	-24.3634975007267	7	"31.3"	NA	NA
"245748_at"	"At1g51140"	"RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family"	6e-04	9.999e-05	0.0303	-13.1772457480303	-7.77045781507457	-34.0346717682262	4	"27.3.6"	NA	NA
"245760_s_at"	"At1g66920"	"signalling.receptor kinases.wheat LRK10 like"	0.7758	9.999e-05	0.0081	-38.3889887427869	21.7303839705064	23.1080039734587	4	"30.2.20"	NA	NA
"245765_at"	"At1g33600"	"not assigned.no ontology"	0.0394	9.999e-05	0.4823	3.88071368873625	8.00999252078205	16.1461691133363	4	"35.1"	NA	NA
"245773_at"	"At1g30290"	"not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein"	0.9989	9.999e-05	0.0074	15.3135026040868	-14.8692355514533	1.85310231390445	7	"35.1.5"	NA	NA
"245775_at"	"At1g30270"	"protein.postranslational modification"	0.1722	9.999e-05	0.0164	-18.7498411480777	50.0839817106497	13.2538846525659	4	"29.4"	NA	NA
"245786_at"	"At1g32150"	"RNA.regulation of transcription.bZIP transcription factor family"	0.0331	9.999e-05	0.6323	5.88673032291672	9.70501765864982	16.6979778750047	6	"27.3.35"	NA	NA
"245789_at"	"At1g32090"	"stress.abiotic.drought/salt"	0.0075	9.999e-05	0.0111	6.55165083058242	-18.6813137840367	-40.5948795763689	5	"20.2.3"	NA	NA
"245792_at"	"At1g32100"	"secondary metabolism.phenylpropanoids"	0.0039	9.999e-05	0.2173	-12.6620644517858	-22.6892745604153	-39.887070982226	4	"16.2"	NA	NA
"245793_at"	"At1g32220"	"not assigned.unknown"	0.0468	9.999e-05	0.1694	2.81417712161642	-17.1066034706818	-24.9048401424884	4	"35.2"	NA	NA
"245806_at"	"At1g45474"	"PS.lightreaction.photosystem I.LHC-I"	0.0168	9.999e-05	0.1591	0.423994438946056	-15.7869207812476	-17.3004398065066	4	"1.1.2.1"	NA	NA
"245809_at"	"At1g58440"	"hormone metabolism.brassinosteroid.synthesis-degradation.sterols.other"	0.0384	9.999e-05	0.0664	1.08853302045758	-5.89965802162322	-19.8222521694144	4	"17.3.1.2.99"	NA	NA
"245810_at"	"At1g37607"	"not assigned.no ontology"	3e-04	9.999e-05	0.4891	-13.2358981545465	-20.5136891099306	-23.7133859117317	4	"35.1"	"35.2"	NA
"245841_s_at"	"At1g58380"	"protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S2"	0.8708	9.999e-05	0.0176	0.457956939110329	-11.8200765677864	14.7202089988394	7	"29.2.1.2.1.2"	NA	NA
"245843_at"	"At1g26180"	"not assigned.unknown"	0.0342	9.999e-05	0.2244	0.781422824510666	-15.1001619260612	-15.7037714897915	4	"35.2"	NA	NA
"245851_at"	"At5g13540"	"protein.postranslational modification"	0.3367	0.0016	0.0231	3.75775726711583	2.13228147357807	-12.6245178860876	5	"29.4"	NA	NA
"245853_at"	"At5g13500"	"not assigned.unknown"	0.0225	0.0045	0.3307	3.49487546082508	26.0634836249645	12.8143419710091	3	"35.2"	NA	NA
"245854_at"	"At5g13490"	"transport.unspecified cations"	0.0187	9.999e-05	0.0089	-4.77288418200529	8.86636241669383	69.536809083071	7	"34.14"	NA	NA
"245859_at"	"At5g28290"	"protein.postranslational modification"	0.0388	9.999e-05	0.0979	3.16271594723242	-16.4120029118365	-35.086481638383	7	"29.4"	NA	NA
"245878_at"	"At1g26190"	"nucleotide metabolism.salvage.nucleoside kinases.uridine kinase"	0.0351	2e-04	0.3296	26.220019671635	7.64464305382908	6.0570281821371	7	"23.3.2.2"	NA	NA
"245879_at"	"At5g09420"	"protein.targeting.chloroplast"	0.016	9.999e-05	0.2431	16.9838623689399	6.26990862020193	44.0419605824831	7	"29.3.3"	NA	NA
"245888_at"	"At5g09450"	"RNA.regulation of transcription.putative transcription regulator"	0.2157	2e-04	0.0101	4.49830075474753	-23.38393639027	6.61500425903226	3	"27.3.67"	NA	NA
"245891_at"	"At5g09220"	"transport.amino acids"	0.017	9.999e-05	0.0605	10.7433279896338	105.651150320691	6.48853835990271	4	"34.3"	NA	NA
"245899_at"	"At5g11030"	"not assigned.unknown"	3e-04	0.002	0.0436	4.0920675584666	39.7880052613787	33.5248491081406	6	"35.2"	NA	NA
"245914_at"	"At5g19620"	"protein.targeting.chloroplast"	0.1248	9.999e-05	0.0066	15.2749779903794	-23.31462547696	-8.69462341880745	5	"29.3.3"	NA	NA
"245934_at"	"At5g09330"	"development.unspecified"	0.0189	0.2409	0.8646	12.5760082828192	9.28469867012362	16.2445027784407	6	"33.99"	NA	NA
"245937_at"	"At5g19750"	"not assigned.no ontology"	0.3268	9.999e-05	0.0035	10.7055843337409	-29.0255271164973	9.76364829753576	5	"35.1"	NA	NA
"245947_at"	"At5g19530"	"polyamine metabolism.synthesis.spermine synthase"	0.0065	9.999e-05	0.0309	-1.7944973475853	-10.1737026169183	-30.7281762269149	7	"22.1.7"	NA	NA
"245949_at"	"At5g19510"	"protein.synthesis.elongation"	0.0353	9.999e-05	0.0317	4.76367936736218	-17.7029404756647	-7.59082878252489	7	"29.2.4"	NA	NA
"245951_at"	"At5g19550"	"amino acid metabolism.synthesis.central amino acid metabolism.aspartate.aspartate aminotransferase"	0.0084	9.999e-05	0.4345	7.23901378738259	26.1769993247781	25.9530347680794	3	"13.1.1.2.1"	NA	NA
"245956_s_at"	"At5g28540"	"stress.abiotic.heat"	0.0012	0.0018	0.0396	3.67026246287928	27.6661037952554	53.479138232844	7	"20.2.1"	NA	NA
"245977_at"	"At5g13110"	"OPP.oxidative PP.G6PD"	0.005	0.0259	0.7189	27.8319369122948	16.5959072576999	16.0087439852217	7	"7.1.1"	NA	NA
"245981_at"	"At5g13100"	"not assigned.unknown"	0.8787	9.999e-05	0.0322	3.28499514522855	11.5014825298723	-14.7136882850333	7	"35.2"	NA	NA
"245984_at"	"At5g13090"	"not assigned.unknown"	0.0234	0.046	0.0942	2.34554249208034	-12.5925845442525	-16.2580969399151	5	"35.2"	NA	NA
"245988_at"	"At5g20610"	"not assigned.unknown"	0.5712	9.999e-05	0.0368	18.3179354650706	-5.26038390023626	-4.82922345395737	4	"35.2"	NA	NA
"245998_at"	"At5g20830"	"major CHO metabolism.degradation.sucrose.Susy"	5e-04	9.999e-05	0.2607	13.1486302386123	42.5908553485938	25.357636540498	4	"2.2.1.5"	NA	NA
"246001_at"	"At5g20790"	"not assigned.unknown"	0.0414	9.999e-05	0.4336	62.3341926587629	46.9512800158762	6.83187854438143	7	"35.2"	NA	NA
"246005_at"	"At5g08415"	"Co-factor and vitamine metabolism.lipoic acid"	0.0096	9.999e-05	0.0756	0.59405379057056	-11.8001752574365	-18.0662256705492	5	"18.11"	NA	NA
"246006_at"	"At5g08290"	"development.unspecified"	0.036	9.999e-05	0.0591	-5.15891550363937	21.3192879859546	15.3822228573863	6	"33.99"	NA	NA
"246012_at"	"At5g10650"	"protein.degradation.ubiquitin.E3.RING"	0.0317	9.999e-05	0.0139	-15.7253127495342	66.0111954566254	27.8648114572086	4	"29.5.11.4.2"	NA	NA
"246028_at"	"At5g21170"	"protein.postranslational modification"	0.1903	3e-04	0.032	-2.67111582336091	8.91530997596805	-22.7392929527074	2	"29.4"	NA	NA
"246029_at"	"At5g21090"	"not assigned.no ontology"	0.0265	9.999e-05	0.106	-3.37689510899594	29.1146630008951	18.8704322124981	4	"35.1"	NA	NA
"246030_at"	"At5g21105"	"redox.ascorbate and glutathione.ascorbate"	0.0385	9.999e-05	0.3318	13.4936105215484	21.7852471502441	1.11458061756681	4	"21.2.1"	NA	NA
"246035_at"	"At5g08300"	"TCA / org. transformation.TCA.succinyl-CoA ligase"	0.0065	9e-04	0.0036	-2.12625127035865	4.67508823864124	20.1647816876576	6	"8.1.6"	NA	NA
"246041_at"	"At5g19290"	"not assigned.no ontology"	0.0415	9.999e-05	0.6839	-4.51474326078557	-11.7006437425286	-6.58457672307062	7	"35.1"	NA	NA
"246053_at"	"At5g08340"	"Co-factor and vitamine metabolism.riboflavin"	0.0324	9.999e-05	0.0641	5.81468305555771	-17.0501612501527	-20.4164844253647	5	"18.3"	NA	NA
"246057_at"	"At5g08400"	"not assigned.unknown"	0.685	9.999e-05	0.0019	11.1938632041872	-21.3341882220021	20.2054504279889	7	"35.2"	NA	NA
"246062_at"	"At5g19330"	"not assigned.no ontology.armadillo/beta-catenin repeat family protein"	0.1238	0.0661	0.0186	6.51548336873772	-1.46707643862412	-24.7139405629949	5	"35.1.3"	NA	NA
"246064_at"	"At5g19350"	"RNA.regulation of transcription.unclassified"	0.1869	9.999e-05	0.0144	7.71194907360932	-6.74512381070081	-9.90697941765952	7	"27.3.99"	NA	NA
"246069_at"	"At5g20220"	"RNA.regulation of transcription.C2H2 zinc finger family"	0.0308	9.999e-05	0.2844	-2.39078952394291	-11.2412692614025	-19.8085504745832	4	"27.3.11"	NA	NA
"246074_at"	"At5g20130"	"not assigned.unknown"	0.0348	9.999e-05	0.0406	4.97665804236837	-10.9000830557853	-19.6592299727007	7	"35.2"	NA	NA
"246075_at"	"At5g20410"	"lipid metabolism.glycolipid synthesis.MGDG synthase"	0.782	9.999e-05	0.0271	15.1186008790009	28.0129626962408	-27.2560039117782	4	"11.10.1"	NA	NA
"246089_at"	"At5g20570"	"protein.degradation.ubiquitin.E3.SCF.RBX"	0.6362	9.999e-05	0.0133	-1.29459104569534	-10.4971063873562	9.37422800827934	7	"29.5.11.4.3.4"	NA	NA
"246094_at"	"At5g19300"	"not assigned.unknown"	0.3729	9.999e-05	0.0076	3.9515427099671	-42.918884797475	30.9735429508928	7	"35.2"	NA	NA
"246097_at"	"At5g20270"	"not assigned.unknown"	0.0023	0.0134	0.9625	-14.9371462940607	-17.7215383564451	-15.7180608175346	5	"35.2"	NA	NA
"246119_at"	"At5g20350"	"cell.organisation"	0.0318	9.999e-05	0.0195	-1.52819947351664	18.7731744315963	1.66365768642796	4	"31.1"	NA	NA
"246124_at"	"At5g20060"	"lipid metabolism.lipid degradation.lysophospholipases.carboxylesterase"	0.0028	9.999e-05	0.0183	3.3899477162831	-21.1921082319192	-16.8794663263585	7	"11.9.3.2"	NA	NA
