Probe_Set_ID,BINCODE,NAME
246764_s_at,35.2,not assigned.unknown
246787_s_at,31.3,cell.cycle
246787_s_at,35.1,not assigned.no ontology
246880_s_at,16.5.1.3.1.1,secondary metabolism.sulfur-containing.glucosinolates.degradation.myrosinase.TGG
246880_s_at,17.2.1,hormone metabolism.auxin.synthesis-degradation
246880_s_at,26.16,misc.myrosinases-lectin-jacalin
247002_at,20.2.2,stress.abiotic.cold
247002_at,27.3.55,RNA.regulation of transcription.HDA
247137_at,29.4.1,protein.postranslational modification.kinase
247137_at,30.3,signalling.calcium
247158_at,13.1.4.1.4,amino acid metabolism.synthesis.branched chain group.common.branched-chain amino acid aminotransferase
247158_at,18.4.1,Co-factor and vitamine metabolism.pantothenate.branched-chain amino acid aminotransferase
247265_at,35.1,not assigned.no ontology
247265_at,35.2,not assigned.unknown
247273_at,27.3.6,"RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family"
247273_at,35.2,not assigned.unknown
247429_at,10.3,cell wall.hemicellulose synthesis
247429_at,26.2,misc.UDP glucosyl and glucoronyl transferases
247549_at,16.5.1.2.1,secondary metabolism.sulfur-containing.glucosinolates.regulation.aliphatic
247549_at,27.3.25,RNA.regulation of transcription.MYB domain transcription factor family
247574_at,31.1,cell.organisation
247574_at,35.2,not assigned.unknown
247600_at,16.5.1.2.3,secondary metabolism.sulfur-containing.glucosinolates.regulation.indole
247600_at,30.2.99,signalling.receptor kinases.misc
247635_at,29.4,protein.postranslational modification
247635_at,35.2,not assigned.unknown
247949_at,16.5.1.1.3.4,secondary metabolism.sulfur-containing.glucosinolates.synthesis.indole.synthesis.cytochrome P450 monooxygenase
247949_at,26.10,misc.cytochrome P450
247957_at,17.1.2,hormone metabolism.abscisic acid.signal transduction
247957_at,29.4,protein.postranslational modification
248009_at,30.11.1,signalling.light.COP9 signalosome
248009_at,33.99,development.unspecified
248059_at,17.2.2,hormone metabolism.auxin.signal transduction
248059_at,33.99,development.unspecified
248243_at,17.2.3,hormone metabolism.auxin.induced-regulated-responsive-activated
248243_at,35.2,not assigned.unknown
248362_at,27.1,RNA.processing
248362_at,27.4,RNA.RNA binding
248438_at,27.3.65,RNA.regulation of transcription.Polycomb Group (PcG)
248438_at,33.99,development.unspecified
248511_at,17.3.1.2.99,hormone metabolism.brassinosteroid.synthesis-degradation.sterols.other
248511_at,31.4,cell.vesicle transport
248523_s_at,29.5.11,protein.degradation.ubiquitin
248523_s_at,29.5.11.2,protein.degradation.ubiquitin.E1
248559_at,27.3.6,"RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family"
248559_at,35.2,not assigned.unknown
248606_at,27.3.35,RNA.regulation of transcription.bZIP transcription factor family
248606_at,35.2,not assigned.unknown
248713_at,16.5.1.3.2,secondary metabolism.sulfur-containing.glucosinolates.degradation.nitrilespecifier protein
248713_at,17.7.3,hormone metabolism.jasmonate.induced-regulated-responsive-activated
248769_at,28.99,DNA.unspecified
248769_at,34.99,transport.misc
248779_at,13.2.4.5,amino acid metabolism.degradation.branched chain group.isoleucine
248779_at,13.2.6.3,amino acid metabolism.degradation.aromatic aa.tryptophan
248779_at,16.1.2.1,secondary metabolism.isoprenoids.mevalonate pathway.acetyl-CoA C-acyltransferase
248866_s_at,29.5,protein.degradation
248866_s_at,35.2,not assigned.unknown
248886_at,2.2.2.6,major CHO metabolism.degradation.starch.transporter
248886_at,34.8,transport.metabolite transporters at the envelope membrane
248953_at,29.4,protein.postranslational modification
248953_at,35.2,not assigned.unknown
249002_at,1.3.10,PS.calvin cyle.Rib5P Isomerase
249002_at,7.2.4,OPP.non-reductive PP.ribose 5-phosphate isomerase
249138_at,31.2,cell.division
249138_at,33.99,development.unspecified
249206_at,27.3.20,"RNA.regulation of transcription.G2-like transcription factor family, GARP"
249206_at,27.3.25,RNA.regulation of transcription.MYB domain transcription factor family
249239_at,30.6,signalling.MAP kinases
249239_at,35.2,not assigned.unknown
249271_at,30.11.1,signalling.light.COP9 signalosome
249271_at,33.99,development.unspecified
249447_at,26.13,misc.acid and other phosphatases
249447_at,33.99,development.unspecified
249457_s_at,27.3.11,RNA.regulation of transcription.C2H2 zinc finger family
249457_s_at,29.5.11.4.2,protein.degradation.ubiquitin.E3.RING
249584_s_at,34.19.3,transport.Major Intrinsic Proteins.NIP
249584_s_at,34.19.99,transport.Major Intrinsic Proteins.unspecified
249630_s_at,27.1.1,RNA.processing.splicing
249630_s_at,28.1,DNA.synthesis/chromatin structure
249658_s_at,1.2.1,PS.photorespiration.phosphoglycolate phosphatase
249658_s_at,3.99,minor CHO metabolism.misc
249660_at,35.1,not assigned.no ontology
249660_at,35.2,not assigned.unknown
249664_at,35.1,not assigned.no ontology
249664_at,35.2,not assigned.unknown
249692_s_at,27.3.63,RNA.regulation of transcription.PHD finger transcription factor
249692_s_at,27.3.99,RNA.regulation of transcription.unclassified
249888_s_at,27.3.11,RNA.regulation of transcription.C2H2 zinc finger family
249888_s_at,27.3.99,RNA.regulation of transcription.unclassified
249942_at,16.5.1.3.3,secondary metabolism.sulfur-containing.glucosinolates.degradation.nitrilase
249942_at,26.8,"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"
250041_at,31.1,cell.organisation
250041_at,33.99,development.unspecified
250181_at,23.5.2,nucleotide metabolism.deoxynucleotide metabolism.pseudouridine synthase
250181_at,29.1.30,protein.aa activation.pseudouridylate synthase
250188_at,30.11.1,signalling.light.COP9 signalosome
250188_at,33.99,development.unspecified
250238_at,27.1,RNA.processing
250238_at,33.99,development.unspecified
250426_at,27.3.3,"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"
250426_at,33.99,development.unspecified
250486_at,35.1,not assigned.no ontology
250486_at,35.2,not assigned.unknown
250557_at,31.1,cell.organisation
250557_at,35.2,not assigned.unknown
250573_at,27.3.68,RNA.regulation of transcription.PWWP domain protein
250573_at,35.2,not assigned.unknown
250581_at,30.3,signalling.calcium
250581_at,33.99,development.unspecified
250589_at,16.5.1.2.1,secondary metabolism.sulfur-containing.glucosinolates.regulation.aliphatic
250589_at,27.3.25,RNA.regulation of transcription.MYB domain transcription factor family
250598_at,16.5.1.2.1,secondary metabolism.sulfur-containing.glucosinolates.regulation.aliphatic
250598_at,27.3.25,RNA.regulation of transcription.MYB domain transcription factor family
250602_s_at,35.1,not assigned.no ontology
250602_s_at,35.2,not assigned.unknown
250719_at,27.3.1,RNA.regulation of transcription.ABI3/VP1-related B3-domain-containing transcription factor family
250719_at,27.3.99,RNA.regulation of transcription.unclassified
250783_at,16.5.1.1.2.1,secondary metabolism.sulfur-containing.glucosinolates.synthesis.aromatic.CYP79A2 monooxygenase
250783_at,26.10,misc.cytochrome P450
250795_at,29.5.11.4.2,protein.degradation.ubiquitin.E3.RING
250795_at,35.2,not assigned.unknown
250995_at,20.2.1,stress.abiotic.heat
250995_at,29.6,protein.folding
251124_s_at,16.2,secondary metabolism.phenylpropanoids
251124_s_at,16.10,secondary metabolism.simple phenols
251127_at,26.3.2,"misc.gluco-, galacto- and mannosidases.beta-galactosidase"
251127_at,35.2,not assigned.unknown
251237_at,27.3.35,RNA.regulation of transcription.bZIP transcription factor family
251237_at,35.2,not assigned.unknown
251351_s_at,30.3,signalling.calcium
251351_s_at,35.1.19,not assigned.no ontology.C2 domain-containing protein
251396_at,1.3.8,PS.calvin cyle.transketolase
251396_at,7.2.1,OPP.non-reductive PP.transketolase
251421_at,11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase
251421_at,13.2.6.3,amino acid metabolism.degradation.aromatic aa.tryptophan
251482_s_at,30.2.19,signalling.receptor kinases.legume-lectin
251482_s_at,30.2.99,signalling.receptor kinases.misc
251505_at,26.7,"misc.oxidases - copper, flavone etc."
251505_at,35.2,not assigned.unknown
251516_s_at,29.3.99,protein.targeting.unknown
251516_s_at,35.1,not assigned.no ontology
251782_at,29.7.5,"protein.glycosylation.alpha-1,3-mannosyl-glycoprotein-beta-1,2-N-acetylglucosaminyltransferase(GnTI)"
251782_at,29.7.8,"protein.glycosylation.alpha-1,6-mannosyl-glycoprotein-beta-1,2-N-acetylglucosaminyltransferase(GnTII)"
251843_x_at,10.5.4,cell wall.cell wall proteins.HRGP
251843_x_at,30.2.22,signalling.receptor kinases.proline extensin like
251956_at,27.3.99,RNA.regulation of transcription.unclassified
251956_at,27.4,RNA.RNA binding
251996_at,10.6.2,cell wall.degradation.mannan-xylose-arabinose-fucose
251996_at,26.3.2,"misc.gluco-, galacto- and mannosidases.beta-galactosidase"
252079_at,30.6,signalling.MAP kinases
252079_at,35.2,not assigned.unknown
252182_at,27.1.1,RNA.processing.splicing
252182_at,33.99,development.unspecified
252274_at,13.1.4.1.4,amino acid metabolism.synthesis.branched chain group.common.branched-chain amino acid aminotransferase
252274_at,16.5.1.1.1.1,secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.branched-chain amino acid aminotransferase  (BCAT/MAAT)
252274_at,18.4.1,Co-factor and vitamine metabolism.pantothenate.branched-chain amino acid aminotransferase
252392_s_at,29.5.11,protein.degradation.ubiquitin
252392_s_at,35.1,not assigned.no ontology
252435_at,28.1.1.7,DNA.synthesis/chromatin structure.retrotransposon/transposase.mutator-like transposase
252435_at,28.99,DNA.unspecified
252435_at,35.2,not assigned.unknown
252436_x_at,28.1.1,DNA.synthesis/chromatin structure.retrotransposon/transposase
252436_x_at,35.2,not assigned.unknown
252576_s_at,29.3.99,protein.targeting.unknown
252576_s_at,29.5.5,protein.degradation.serine protease
252616_at,29.4,protein.postranslational modification
252616_at,35.2,not assigned.unknown
252677_at,16.5.1.3.3,secondary metabolism.sulfur-containing.glucosinolates.degradation.nitrilase
252677_at,26.8,"misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases"
252678_s_at,16.5.1.3.3,secondary metabolism.sulfur-containing.glucosinolates.degradation.nitrilase
252678_s_at,17.2.1,hormone metabolism.auxin.synthesis-degradation
252681_at,27.3.27,RNA.regulation of transcription.NAC domain transcription factor family
252681_at,33.99,development.unspecified
252756_s_at,26.28,misc.GDSL-motif lipase
252756_s_at,35.2,not assigned.unknown
252827_at,16.5.1.1.3.1,secondary metabolism.sulfur-containing.glucosinolates.synthesis.indole.CYP79B2 monooxygenase
252827_at,26.10,misc.cytochrome P450
253132_at,27.3.27,RNA.regulation of transcription.NAC domain transcription factor family
253132_at,33.99,development.unspecified
253177_s_at,16.2,secondary metabolism.phenylpropanoids
253177_s_at,26.6,misc.O-methyl transferases
253194_s_at,28.1.1.7,DNA.synthesis/chromatin structure.retrotransposon/transposase.mutator-like transposase
253194_s_at,35.2,not assigned.unknown
253245_at,27.3.35,RNA.regulation of transcription.bZIP transcription factor family
253245_at,35.2,not assigned.unknown
253312_s_at,26.4,"misc.beta 1,3 glucan hydrolases"
253312_s_at,35.1,not assigned.no ontology
253334_at,16.8.3,secondary metabolism.flavonoids.dihydroflavonols
253334_at,16.8.4,secondary metabolism.flavonoids.flavonols
253340_s_at,31.2,cell.division
253340_s_at,33.99,development.unspecified
253387_at,1.2.4.1,PS.photorespiration.glycine cleavage.P subunit
253387_at,25,C1-metabolism
253438_at,1.2.5,PS.photorespiration.serine hydroxymethyltransferase
253438_at,25.1,C1-metabolism.glycine hydroxymethyltransferase
253448_at,29.3.4.2,protein.targeting.secretory pathway.golgi
253448_at,31.4,cell.vesicle transport
253470_s_at,8.1.7,TCA / org. transformation.TCA.succinate dehydrogenase
253470_s_at,28.1,DNA.synthesis/chromatin structure
253492_at,11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase
253492_at,13.2.6.3,amino acid metabolism.degradation.aromatic aa.tryptophan
253534_at,16.5.1.1.4.1,secondary metabolism.sulfur-containing.glucosinolates.synthesis.shared.CYP83B1 phenylacetaldoxime monooxygenase
253534_at,26.10,misc.cytochrome P450
253646_at,29.4.1,protein.postranslational modification.kinase
253646_at,30.6,signalling.MAP kinases
253744_s_at,28.1.1,DNA.synthesis/chromatin structure.retrotransposon/transposase
253744_s_at,35.2,not assigned.unknown
253774_at,27.3.27,RNA.regulation of transcription.NAC domain transcription factor family
253774_at,33.99,development.unspecified
253879_s_at,16.8.1,secondary metabolism.flavonoids.anthocyanins
253879_s_at,26.2,misc.UDP glucosyl and glucoronyl transferases
253929_s_at,9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase
253929_s_at,35.2,not assigned.unknown
253937_at,29.4,protein.postranslational modification
253937_at,31.2,cell.division
253969_at,30.11.1,signalling.light.COP9 signalosome
253969_at,33.99,development.unspecified
254007_s_at,28.1,DNA.synthesis/chromatin structure
254007_s_at,35.2,not assigned.unknown
254232_at,13.1.6.2,amino acid metabolism.synthesis.aromatic aa.phenylalanine and tyrosine
254232_at,13.2.6.2,amino acid metabolism.degradation.aromatic aa.tyrosine
254232_at,15.2,"metal handling.binding, chelation and storage"
254232_at,16.4.1,secondary metabolism.N misc.alkaloid-like
254247_at,20,stress
254247_at,30.2.17,signalling.receptor kinases.DUF 26
254309_s_at,29.5.11.4.3.2,protein.degradation.ubiquitin.E3.SCF.FBOX
254309_s_at,35.2,not assigned.unknown
254321_at,3.2.2,minor CHO metabolism.trehalose.TPP
254321_at,35.2,not assigned.unknown
254341_at,29.4.1.57,protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII
254341_at,30.2.5,signalling.receptor kinases.leucine rich repeat V
254353_s_at,29.5.11.1,protein.degradation.ubiquitin.ubiquitin
254353_s_at,35.1,not assigned.no ontology
254385_s_at,20.2,stress.abiotic
254385_s_at,35.1,not assigned.no ontology
254471_s_at,28.1.1,DNA.synthesis/chromatin structure.retrotransposon/transposase
254471_s_at,35.2,not assigned.unknown
254473_s_at,29.4,protein.postranslational modification
254473_s_at,30.2.99,signalling.receptor kinases.misc
254473_s_at,35.2,not assigned.unknown
254560_at,29.4,protein.postranslational modification
254560_at,35.2,not assigned.unknown
254567_s_at,35.1,not assigned.no ontology
254567_s_at,35.2,not assigned.unknown
254568_x_at,35.1,not assigned.no ontology
254568_x_at,35.2,not assigned.unknown
254570_s_at,29.5.11.4.3.2,protein.degradation.ubiquitin.E3.SCF.FBOX
254570_s_at,35.1,not assigned.no ontology
254617_s_at,29.2.1.2.2.11,protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L11
254617_s_at,29.2.1.2.2.16,protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L16
254687_at,16.5.1.1.1.7,secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.CYP83A1 phenylacetaldoxime monooxygenase
254687_at,26.10,misc.cytochrome P450
254741_s_at,20.1.7,stress.biotic.PR-proteins
254741_s_at,35.2,not assigned.unknown
254742_at,8.2.3,TCA / org. transformation.other organic acid transformaitons.aconitase
254742_at,16.5.1.1.1.3,secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.methylthioalkylmalate isomerase large subunit (MAM-IL)
254776_at,11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase
254776_at,13.2.6.3,amino acid metabolism.degradation.aromatic aa.tryptophan
254806_at,3.2.2,minor CHO metabolism.trehalose.TPP
254806_at,35.2,not assigned.unknown
254824_s_at,28.1,DNA.synthesis/chromatin structure
254824_s_at,28.99,DNA.unspecified
254835_s_at,16.8.3,secondary metabolism.flavonoids.dihydroflavonols
254835_s_at,26.10,misc.cytochrome P450
254852_at,20.1.5,stress.biotic.regulation of transcription
254852_at,27.3.32,RNA.regulation of transcription.WRKY domain transcription factor family
254862_at,16.5.1.4.1,secondary metabolism.sulfur-containing.glucosinolates.transport.aliphatic
254862_at,34.14,transport.unspecified cations
254869_at,29.4.1,protein.postranslational modification.kinase
254869_at,30.2.17,signalling.receptor kinases.DUF 26
254882_s_at,28.1.1.2,DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon
254882_s_at,35.2,not assigned.unknown
254941_s_at,28.1,DNA.synthesis/chromatin structure
254941_s_at,28.1.1.2,DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon
254985_x_at,28.1,DNA.synthesis/chromatin structure
254985_x_at,28.1.1.1,DNA.synthesis/chromatin structure.retrotransposon/transposase.gypsy-like retrotransposon
255093_s_at,31.1,cell.organisation
255093_s_at,35.2,not assigned.unknown
255109_s_at,27.4,RNA.RNA binding
255109_s_at,35.2,not assigned.unknown
255136_s_at,27.3.52,RNA.regulation of transcription.Global transcription factor group
255136_s_at,35.1,not assigned.no ontology
255158_s_at,28.99,DNA.unspecified
255158_s_at,35.2,not assigned.unknown
255176_s_at,27.3.50,RNA.regulation of transcription.General Transcription
255176_s_at,27.3.67,RNA.regulation of transcription.putative transcription regulator
255226_at,20.2.5,stress.abiotic.light
255226_at,29.5.11.4.6,protein.degradation.ubiquitin.E3.DCX
255257_at,29.1,protein.aa activation
255257_at,29.5.11.1,protein.degradation.ubiquitin.ubiquitin
255330_s_at,28.1,DNA.synthesis/chromatin structure
255330_s_at,28.1.1.3,DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon
255437_at,16.5.1.1.1.11,secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.glucosinolate 2-oxoglutarate-dependent dioxygenase (AOP)
255437_at,17.6.1,hormone metabolism.gibberelin.synthesis-degradation
255566_s_at,27.3.67,RNA.regulation of transcription.putative transcription regulator
255566_s_at,35.1,not assigned.no ontology
255592_s_at,29.5.11.4.3.2,protein.degradation.ubiquitin.E3.SCF.FBOX
255592_s_at,35.2,not assigned.unknown
255600_s_at,28.1,DNA.synthesis/chromatin structure
255600_s_at,29.5.11.4.2,protein.degradation.ubiquitin.E3.RING
255619_s_at,30.11,signalling.light
255619_s_at,33.99,development.unspecified
255619_s_at,35.1.26,not assigned.no ontology.DC1 domain containing protein
255713_s_at,35.1,not assigned.no ontology
255713_s_at,35.2,not assigned.unknown
255729_at,27.3.3,"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"
255729_at,35.2,not assigned.unknown
255753_at,16.5.1.2.3,secondary metabolism.sulfur-containing.glucosinolates.regulation.indole
255753_at,27.3.25,RNA.regulation of transcription.MYB domain transcription factor family
255773_at,16.5.1.1.1.9,secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.sulfotransferase
255773_at,26.25,misc.sulfotransferase
255786_at,20.1,stress.biotic
255786_at,20.2.4,stress.abiotic.touch/wounding
255788_at,17.2.3,hormone metabolism.auxin.induced-regulated-responsive-activated
255788_at,27.3.40,RNA.regulation of transcription.Aux/IAA family
255794_at,27.3.27,RNA.regulation of transcription.NAC domain transcription factor family
255794_at,33.99,development.unspecified
255964_at,28.99,DNA.unspecified
255964_at,31.2,cell.division
256116_at,35.1,not assigned.no ontology
256116_at,35.2,not assigned.unknown
256136_s_at,28.1.1.3,DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon
256136_s_at,35.2,not assigned.unknown
256170_at,30.2.99,signalling.receptor kinases.misc
256170_at,30.11,signalling.light
256171_s_at,28.1,DNA.synthesis/chromatin structure
256171_s_at,28.1.1.2,DNA.synthesis/chromatin structure.retrotransposon/transposase.non-LTR retrotransposon
256202_s_at,26.30,misc. other Ferredoxins and Rieske domain
256202_s_at,27.3.24,RNA.regulation of transcription.MADS box transcription factor family
256356_s_at,27.3.99,RNA.regulation of transcription.unclassified
256356_s_at,35.1,not assigned.no ontology
256376_s_at,17.8.1,hormone metabolism.salicylic acid.synthesis-degradation
256376_s_at,29.4,protein.postranslational modification
256448_s_at,35.1,not assigned.no ontology
256448_s_at,35.2,not assigned.unknown
256467_at,28.1,DNA.synthesis/chromatin structure
256467_at,28.1.1.3,DNA.synthesis/chromatin structure.retrotransposon/transposase.copia-like retrotransposon
256502_at,29.2.3,protein.synthesis.initiation
256502_at,35.2,not assigned.unknown
256560_s_at,16.1,secondary metabolism.isoprenoids
256560_s_at,16.1.5,secondary metabolism.isoprenoids.terpenoids
256721_at,31.1,cell.organisation
256721_at,33.99,development.unspecified
256844_s_at,28.1.1.5,DNA.synthesis/chromatin structure.retrotransposon/transposase.CACTA-like transposase
256844_s_at,35.2,not assigned.unknown
257008_at,16.5.1.3.1,secondary metabolism.sulfur-containing.glucosinolates.degradation.myrosinase
257008_at,26.28,misc.GDSL-motif lipase
257021_at,13.1.4.1.4,amino acid metabolism.synthesis.branched chain group.common.branched-chain amino acid aminotransferase
257021_at,16.5.1.1.1.1,secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.branched-chain amino acid aminotransferase  (BCAT/MAAT)
257099_s_at,20.1.7,stress.biotic.PR-proteins
257099_s_at,30.2.99,signalling.receptor kinases.misc
257158_at,11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase
257158_at,13.2.6.3,amino acid metabolism.degradation.aromatic aa.tryptophan
257281_s_at,16.8.1.21,secondary metabolism.flavonoids.anthocyanins.anthocyanin 5-aromatic acyltransferase
257281_s_at,26.5,misc.acyl transferases
257339_s_at,9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase
257339_s_at,34.1.1.2,transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit C
257339_s_at,35.2,not assigned.unknown
257344_s_at,28.1.1.7,DNA.synthesis/chromatin structure.retrotransposon/transposase.mutator-like transposase
257344_s_at,28.99,DNA.unspecified
257366_s_at,34.99,transport.misc
257366_s_at,35.1,not assigned.no ontology
257378_s_at,26.13,misc.acid and other phosphatases
257378_s_at,35.1,not assigned.no ontology
257379_x_at,28.1.1.7,DNA.synthesis/chromatin structure.retrotransposon/transposase.mutator-like transposase
257379_x_at,28.99,DNA.unspecified
257387_s_at,30.2.1,signalling.receptor kinases.leucine rich repeat I
257387_s_at,30.2.99,signalling.receptor kinases.misc
257411_s_at,27.3.67,RNA.regulation of transcription.putative transcription regulator
257411_s_at,29.5.11.4.3.2,protein.degradation.ubiquitin.E3.SCF.FBOX
257488_s_at,27.3.11,RNA.regulation of transcription.C2H2 zinc finger family
257488_s_at,29.5.11.4.2,protein.degradation.ubiquitin.E3.RING
257496_s_at,26.16,misc.myrosinases-lectin-jacalin
257496_s_at,35.2,not assigned.unknown
257590_s_at,27.3.67,RNA.regulation of transcription.putative transcription regulator
257590_s_at,35.2,not assigned.unknown
257641_s_at,17.7.1.4,hormone metabolism.jasmonate.synthesis-degradation.allene oxidase cyclase
257641_s_at,20.2.3,stress.abiotic.drought/salt
257684_s_at,27.1,RNA.processing
257684_s_at,33.99,development.unspecified
257760_s_at,28.1.1.4,DNA.synthesis/chromatin structure.retrotransposon/transposase.hat-like transposase
257760_s_at,28.99,DNA.unspecified
257763_s_at,20.1.7,stress.biotic.PR-proteins
257763_s_at,35.1,not assigned.no ontology
257782_at,35.1,not assigned.no ontology
257782_at,35.2,not assigned.unknown
257822_at,29.6,protein.folding
257822_at,31.3.1,cell.cycle.peptidylprolyl isomerase
257897_at,18.4.7,Co-factor and vitamine metabolism.pantothenate.phosphopantothenoylcysteine decarboxylase (PPCDC)
257897_at,20.2.3,stress.abiotic.drought/salt
257960_at,22.1.2,polyamine metabolism.synthesis.SAM decarboxylase
257960_at,35.2,not assigned.unknown
257971_at,29.3.4.2,protein.targeting.secretory pathway.golgi
